component,cosine_score,EdgeAnnotation,EdgeScore,EdgeType,explained_intensity,interaction,mass_difference,name,node1,node2,property1,selected,shared interaction,shared name
-1,0.7938,methanol (-H2O):CH2,0.7938,Cosine,23778,-,-14.016,26990 (-) 23778,23778,26990,23778,FALSE,-,26990 (-) 23778
-1,0.9193,,0.9193,Cosine,26990,-,-114.068,26990 (-) 36645,26990,36645,26990,FALSE,-,26990 (-) 36645
-1,0.9407,,0.9407,Cosine,26990,-,-116.047,26990 (-) 33750,26990,33750,26990,FALSE,-,26990 (-) 33750
-1,0.9206,,0.9206,Cosine,26990,-,-116.084,26990 (-) 35402,26990,35402,26990,FALSE,-,26990 (-) 35402
-1,0.9247,H2,0.9247,Cosine,26990,-,2.016,26990 (-) 28493,26990,28493,26990,FALSE,-,26990 (-) 28493
-1,0.9101,CH6N3:C3H8O,0.9101,Cosine,22761,-,-60.057,26990 (-) 22761,22761,26990,22761,FALSE,-,26990 (-) 22761
-1,0.9577,CH4N3:C3H6O,0.9577,Cosine,23461,-,-58.042,26990 (-) 23461,23461,26990,23461,FALSE,-,26990 (-) 23461
-1,0.9378,N3O:C2H2O2,0.9378,Cosine,26990,-,-58.005,26990 (-) 29972,26990,29972,26990,FALSE,-,26990 (-) 29972
-1,0.9204,,0.9204,Cosine,33555,-,0,33555 (-) 40268,33555,40268,33555,FALSE,-,33555 (-) 40268
-1,0.9343,,0.9343,Cosine,33555,-,0,33555 (-) 42167,33555,42167,33555,FALSE,-,33555 (-) 42167
-1,1,,1,Cosine,1,-,0,6222 (-) 6222,6222,6222,1,FALSE,-,6222 (-) 6222
-1,1,,1,Cosine,1,-,0,7042 (-) 7042,7042,7042,1,FALSE,-,7042 (-) 7042
-1,0.9365,,0.9365,Cosine,53661,-,-0.001,54796 (-) 53661,53661,54796,53661,FALSE,-,54796 (-) 53661
-1,0.9002,,0.9002,Cosine,54796,-,88.052,54796 (-) 54797,54796,54797,54796,FALSE,-,54796 (-) 54797
-1,0.9178,H2N3:C2H4O,0.9178,Cosine,54791,-,-44.026,54796 (-) 54791,54791,54796,54791,FALSE,-,54796 (-) 54791
