FeatureID,Feature,Annotation,Cosine,Mzerror,Group0,Group1,Group2
10001,X10001_pos_266.107_3.886_NA,,,,,,
10004,X10004_pos_652.412_4.043_NA,,,,,,
10006,X10006_pos_210.149_3.911_NA,,,,,,
10008,X10008_pos_296.183_3.89_NA,,,,,,
10016,X10016_pos_274.201_3.891_NA,,,,,,
10021,X10021_pos_433.218_3.852_NA,,,,,,
10023,X10023_pos_456.244_3.836_NA,,,,,,
10028,X10028_pos_459.28_3.786_Spectral Match to Decaethylene glycol from NIST14,Spectral Match to Decaethylene glycol from NIST14,0.880907,0,all anthropogenic,polymer-related,PAG
1003,X1003_pos_280.212_0.942_NA,,,,,,
10035,X10035_pos_636.417_3.88_NA,,,,,,
1005,X1005_pos_318.191_0.945_NA,,,,,,
10052,X10052_pos_481.262_3.99_NA,,,,,,
1006,"X1006_pos_180.088_0.932_2-amino-1,9-dimethyl-6,9-dihydro-1H-purin-6-one","2-amino-1,9-dimethyl-6,9-dihydro-1H-purin-6-one",0.793718,0.593107,unknown,unknown,unknown
10062,X10062_pos_315.687_3.883_NA,,,,,,
10065,X10065_pos_315.156_3.906_NA,,,,,,
10067,X10067_pos_173.077_3.887_NA,,,,,,
1007,X1007_pos_163.087_0.91_NA,,,,,,
10072,X10072_pos_197.117_3.853_Loliolide,Loliolide,0.921698,1.47079,biological ,biological compound,plant metabolite
10073,X10073_pos_548.292_3.806_NA,,,,,,
10074,X10074_pos_282.102_3.923_NA,,,,,,
10077,X10077_pos_271.151_3.849_NA,,,,,,
10081,X10081_pos_428.249_3.898_NA,,,,,,
10082,X10082_pos_167.118_3.849_NA,,,,,,
10085,X10085_pos_537.159_3.902_NA,,,,,,
10086,X10086_pos_749.516_3.944_Azithromycin - Dark Web Drugs,Azithromycin - Dark Web Drugs,0.919537,0.162866,all anthropogenic,pharmaceutical,antibiotic
10088,X10088_pos_213.112_3.862_NA,,,,,,
1009,X1009_pos_184.119_0.94_NA,,,,,,
10099,X10099_pos_548.185_3.892_NA,,,,,,
10105,X10105_pos_251.139_3.758_Massbank:EQ362703 Lacosamide|N2-Acetyl-N-benzyl-O-methyl-D-serinamide|2-acetamido-N-benzyl-3-methoxypropanamide,Massbank:EQ362703 Lacosamide|N2-Acetyl-N-benzyl-O-methyl-D-serinamide|2-acetamido-N-benzyl-3-methoxypropanamide,0.896981,0.36455,all anthropogenic,pharmaceutical,pharmaceutical - other
10109,X10109_pos_163.075_3.875_NA,,,,,,
10117,X10117_pos_156.102_3.926_NA,,,,,,
10119,X10119_pos_553.247_3.81_NA,,,,,,
1013,X1013_pos_351.285_0.938_NA,,,,,,
10131,X10131_pos_274.596_3.894_NA,,,,,,
10140,X10140_pos_370.244_3.936_NA,,,,,,
10143,X10143_pos_202.086_3.923_NA,,,,,,
10146,X10146_pos_251.128_4.021_NA,,,,,,
1015,X1015_pos_196.15_0.946_NA,,,,,,
10153,X10153_pos_184.052_3.904_NA,,,,,,
10158,X10158_pos_368.254_3.955_NA,,,,,,
10165,X10165_pos_166.086_3.882_NA,,,,,,
10170,X10170_pos_299.168_3.956_NA,,,,,,
10171,X10171_pos_372.259_3.929_NA,,,,,,
10172,X10172_pos_391.194_3.891_NA,,,,,,
10173,X10173_pos_339.197_3.907_NA,,,,,,
10175,X10175_pos_498.178_3.923_NA,,,,,,
10178,X10178_pos_438.234_3.916_NA,,,,,,
1018,X1018_pos_293.133_0.941_NA,,,,,,
10181,X10181_pos_317.15_3.915_NA,,,,,,
10183,X10183_pos_194.19_3.895_NA,,,,,,
10184,X10184_pos_292.111_3.912_NA,,,,,,
10185,X10185_pos_240.196_3.961_NA,,,,,,
10187,X10187_pos_283.175_4.055_Spectral Match to Hexaethylene glycol from NIST14,Spectral Match to Hexaethylene glycol from NIST14,0.741735,0.754385,all anthropogenic,polymer-related,PAG
10189,X10189_pos_275.594_3.899_NA,,,,,,
1019,X1019_pos_213.16_0.951_NA,,,,,,
10192,X10192_pos_272.139_3.923_NA,,,,,,
10195,X10195_pos_371.171_3.909_NA,,,,,,
10209,X10209_pos_297.133_3.946_NA,,,,,,
10211,X10211_pos_168.058_3.985_NA,,,,,,
10212,X10212_pos_503.134_3.919_NA,,,,,,
1022,X1022_pos_195.113_0.873_NA,,,,,,
10225,X10225_pos_236.107_3.938_NA,,,,,,
10226,X10226_pos_257.128_3.937_Massbank:LU052601 Ancymidol|cyclopropyl-(4-methoxyphenyl)-pyrimidin-5-ylmethanol,Massbank:LU052601 Ancymidol|cyclopropyl-(4-methoxyphenyl)-pyrimidin-5-ylmethanol,0.787397,2.37372,all anthropogenic,pesticide,pesticide - other
10228,X10228_pos_288.127_3.95_NA,,,,,,
10233,X10233_pos_335.149_4.033_NA,,,,,,
10234,X10234_pos_580.354_3.805_NA,,,,,,
10235,X10235_pos_526.21_3.923_NA,,,,,,
10237,X10237_pos_534.349_4.042_NA,,,,,,
10238,X10238_pos_523.144_3.96_NA,,,,,,
10240,X10240_pos_518.281_3.985_NA,,,,,,
10242,X10242_pos_230.154_3.907_NA,,,,,,
