filename	ATTRIBUTE_SiteName	ATTRIBUTE_SiteName_Bridge	ATTRIBUTE_SiteName_NS1	ATTRIBUTE_River_km	ATTRIBUTE_SampleDate	ATTRIBUTE_SampleMonth	ATTRIBUTE_Type_1	ATTRIBUTE_Type_2	ATTRIBUTE_Type_3	ATTRIBUTE_RiverGroup	ATTRIBUTE_RiverGroup_Type_1	ATTRIBUTE_RiverGroup_Type_2	ATTRIBUTE_RiverGroup_Type_3	ATTRIBUTE_Name	ATTRIBUTE_TimeRun	ATTRIBUTE_InjectionOrder	ATTRIBUTE_SampleTeam	ATTRIBUTE_TA_concentration	ATTRIBUTE_TOC_concentration	WWTP_LoadEntering_pePerkm2	WWTP_TWW_m3.Year.Km2	population_density_km2	artificial_surfaces_NoMines_density	Agricultural areas	Artificial surfaces	Forest and semi natural areas	Water bodies	Wetlands	Arable land	"Artificial, non-agricultural vegetated areas"	Forests	Heterogeneous agricultural areas	"Industrial, commercial and transport units"	Inland waters	Inland wetlands	"Mine, dump and construction sites"	Open spaces with little or no vegetation	Pastures	Permanent crops	Scrub and/or herbaceous vegetation associations	Urban fabric	Airports	"Beaches, dunes, sands"	Broad-leaved forest	Complex cultivation patterns	Coniferous forest	Construction sites	Continuous urban fabric	Discontinuous urban fabric	Dump sites	Fruit trees and berry plantations	Green urban areas	Industrial or commercial 	Inland marshes	"Land principally occupied by agriculture, with significant areas of natural vegetation"	Mineral extraction sites	Mixed forest	Moors and heathland	Natural grasslands	Non-irrigated arable land	Pastures	Peat bogs	Port areas	Road rail and Trnsport	Sparsely vegetated areas	Sport and leisure facilities	Transitional woodland-shrub	Vineyards	Water bodies	Water courses
B1_both_1.mzML	B1	B1			20230511	May	Blank	Blank	Blank_Process	Spree	Spree_Blank	Spree_Blank	Spree_Blank_Process	Process blank	5/28/2023 0:00	0	IGB																																																					
B1_both_2.mzML	B1	B1			20230511	May	Blank	Blank	Blank_Process	Spree	Spree_Blank	Spree_Blank	Spree_Blank_Process	Process blank	5/28/2023 0:00	0	IGB																																																					
B2_both_1.mzML	B2	B2			20230511	May	Blank	Blank	Blank_Process	Spree	Spree_Blank	Spree_Blank	Spree_Blank_Process	Process blank	5/28/2023 0:00	0	IGB																																																					
B2_both_2.mzML	B2	B2			20230511	May	Blank	Blank	Blank_Process	Spree	Spree_Blank	Spree_Blank	Spree_Blank_Process	Process blank	5/28/2023 0:00	0	IGB																																																					
B3_both_1.mzML	B3	B3			20230511	May	Blank	Blank	Blank_Process	Spree	Spree_Blank	Spree_Blank	Spree_Blank_Process	Process blank	5/28/2023 0:00	0	IGB																																																					
B3_both_2.mzML	B3	B3			20230511	May	Blank	Blank	Blank_Process	Spree	Spree_Blank	Spree_Blank	Spree_Blank_Process	Process blank	5/28/2023 0:00	0	IGB																																																					
N01B_both_1.mzML	N01B	N01B			20230522	May	Blank	Blank	Blank_Field	Neckar	Neckar_Blank	Neckar_Blank	Neckar_Blank_Field	Field blank	5/26/2023 21:16	1	NA																																																					
N01B_both_2.mzML	N01B	N01B			20230522	May	Blank	Blank	Blank_Field	Neckar	Neckar_Blank	Neckar_Blank	Neckar_Blank_Field	Field blank	5/26/2023 21:33	2	NA																																																					
PB1_both_1.mzML	PB1	PB1	PB1		20230504	May	Blank	Blank	Blank_Process	Neckar	Neckar_Blank	Neckar_Blank	Neckar_Blank_Process	Process blank	5/26/2023 21:50	3																																																						
PB1_both_2.mzML	PB1	PB1	PB1		20230504	May	Blank	Blank	Blank_Process	Neckar	Neckar_Blank	Neckar_Blank	Neckar_Blank_Process	Process blank	5/26/2023 22:07	4																																																						
S1_both_1.mzML	S01	S01	S1	0	20230511	May	River	River	Headwater	Spree	Spree_River	Spree_River	Spree_Headwater	Spree	5/26/2023 22:24	5	IGB	0.060074224	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
S1_both_2.mzML	S01	S01	S1	0	20230511	May	River	River	Headwater	Spree	Spree_River	Spree_River	Spree_Headwater	Spree	5/26/2023 22:41	6	IGB	0.060074224	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Schwarzer_Schoeps_both_1.mzML	TS19	S19	Schwarzer_Schoeps		20230511	May	River	Tributary	Tributary	Spree	Spree_River	Spree_Tributary	Spree_Tributary	Schwarzer Schoeps	5/26/2023 22:58	7	IGB	0.58355283	4.4	42	2279	61	0.025707537	0.527413793	0.035101698	0.42339964	0.012905867	0.001179002	0.469307493	0.001234052	0.406083746	0.000645654	0.004477356	0.012905867	0.001179002	0.009394161	0	0.057460646	0	0.017315894	0.01999613	0	0	0.010016118	0.000186788	0.390457702	0	0	0.01999613	0	0	0.000270918	0.004477356	0.001179002	0.000458867	0.009394161	0.005609926	0.002639586	0.00028758	0.469307493	0.057460646	0	0	0	0	0.000963134	0.014388728	0	0.012905867	0.012905867
Schwarzer_Schoeps_both_2.mzML	TS19	S19	Schwarzer_Schoeps		20230511	May	River	Tributary	Tributary	Spree	Spree_River	Spree_Tributary	Spree_Tributary	Schwarzer Schoeps	5/26/2023 23:14	8	IGB	0.58355283	4.4	42	2279	61	0.025707537	0.527413793	0.035101698	0.42339964	0.012905867	0.001179002	0.469307493	0.001234052	0.406083746	0.000645654	0.004477356	0.012905867	0.001179002	0.009394161	0	0.057460646	0	0.017315894	0.01999613	0	0	0.010016118	0.000186788	0.390457702	0	0	0.01999613	0	0	0.000270918	0.004477356	0.001179002	0.000458867	0.009394161	0.005609926	0.002639586	0.00028758	0.469307493	0.057460646	0	0	0	0	0.000963134	0.014388728	0	0.012905867	0.012905867
Berste_both_1.mzML	TS43	S43	Berste		20230511	May	River	Tributary	Tributary	Spree	Spree_River	Spree_Tributary	Spree_Tributary	Berste	5/26/2023 23:31	9	IGB	0.55530186	10.5	28	1207	35	0.011416681	0.391232919	0.011416681	0.596265499	0.000126249	0.000958653	0.355059244	0.000255235	0.595425541	0	0.001070944	0.000126249	0.000958653	0	0	0.035647595	0.000526079	0.000839958	0.010090502	0.000118881	0	0.006881802	0	0.587647891	0	0	0.010090502	0	0.000526079	0	0.000952063	0.000958653	0	0	0.000895848	0	0	0.355059244	0.035647595	0	0	0	0	0.000255235	0.000839958	0	0.000126249	0.000126249
Berste_both_2.mzML	TS43	S43	Berste		20230511	May	River	Tributary	Tributary	Spree	Spree_River	Spree_Tributary	Spree_Tributary	Berste	5/26/2023 23:48	10	IGB	0.55530186	10.5	28	1207	35	0.011416681	0.391232919	0.011416681	0.596265499	0.000126249	0.000958653	0.355059244	0.000255235	0.595425541	0	0.001070944	0.000126249	0.000958653	0	0	0.035647595	0.000526079	0.000839958	0.010090502	0.000118881	0	0.006881802	0	0.587647891	0	0	0.010090502	0	0.000526079	0	0.000952063	0.000958653	0	0	0.000895848	0	0	0.355059244	0.035647595	0	0	0	0	0.000255235	0.000839958	0	0.000126249	0.000126249
Erpe_both_1.mzML	TS68	S68	Erpe		20230511	May	River	Tributary	Tributary	Spree	Spree_River	Spree_Tributary	Spree_Tributary	Erpe	5/27/2023 0:05	11	IGB	12.53975739	10.7	766	72907	616	0.398320741	0.488930508	0.398320741	0.111427932	0.000782172	0.000538647	0.443214748	0.007985131	0.108793868	0.002217106	0.017525423	0.000782172	0.000538647	0	0	0.037696253	0.005802401	0.002634064	0.372810187	0.003645398	0	0.027122995	0	0.072905349	0	0	0.372810187	0	0.005802401	0.004430738	0.012349699	0.000538647	0.002217106	0	0.008765523	0	0.00127574	0.443214748	0.037696253	0	0	0.001530325	0	0.003554393	0.001358324	0	0.000782172	0.000782172
Erpe_both_2.mzML	TS68	S68	Erpe		20230511	May	River	Tributary	Tributary	Spree	Spree_River	Spree_Tributary	Spree_Tributary	Erpe	5/27/2023 0:22	12	IGB	12.53975739	10.7	766	72907	616	0.398320741	0.488930508	0.398320741	0.111427932	0.000782172	0.000538647	0.443214748	0.007985131	0.108793868	0.002217106	0.017525423	0.000782172	0.000538647	0	0	0.037696253	0.005802401	0.002634064	0.372810187	0.003645398	0	0.027122995	0	0.072905349	0	0	0.372810187	0	0.005802401	0.004430738	0.012349699	0.000538647	0.002217106	0	0.008765523	0	0.00127574	0.443214748	0.037696253	0	0	0.001530325	0	0.003554393	0.001358324	0	0.000782172	0.000782172
N3_both_1.mzML	N03	N03	N3	120	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 1:13	15	LG_AS	1.463312766	3.6	381	43682	289	0.054440719	0.282316865	0.054800652	0.66265855	0.000114887	0.000109047	0.140338626	0.001977465	0.660555922	0.003331344	0.007667557	0.000114887	0.000109047	0.000485205	0	0.124590519	0.014056376	0.002102628	0.044670425	0.000138351		0.110146691	0.001605187	0.521868976	0	0.001273652	0.043396773	0.000125272	0.014056376	0	0.007467375		0.001726157	0.000359933	0.028540255	0	8.08E-05	0.140338626	0.124590519	0.000109047	0	6.18E-05	0	0.001977465	0.002021819	0	0.000114887	0.000114887
N3_both_2.mzML	N03	N03	N3	120	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 1:30	16	LG_AS	1.463312766	3.6	381	43682	289	0.054440719	0.282316865	0.054800652	0.66265855	0.000114887	0.000109047	0.140338626	0.001977465	0.660555922	0.003331344	0.007667557	0.000114887	0.000109047	0.000485205	0	0.124590519	0.014056376	0.002102628	0.044670425	0.000138351		0.110146691	0.001605187	0.521868976	0	0.001273652	0.043396773	0.000125272	0.014056376	0	0.007467375		0.001726157	0.000359933	0.028540255	0	8.08E-05	0.140338626	0.124590519	0.000109047	0	6.18E-05	0	0.001977465	0.002021819	0	0.000114887	0.000114887
