row ID,Tributylamine,Diuron,Flufenacet,Metoprolol acid,Triphenylphosphate,Imidacloprid,5-Metolachlor,Tris(2-chloroetyl)phosphate,N-Butylbenzesulfonamide,Metformin,Terbutryn,Losartan,N-Guanylurea,Bezafibrat,Tris(2-chloroisopropyl)phosphate,2-Hydroxybenzothiazole,Valsartansaeure,Sulfamethoxazol,Primidone,"1,3-Diphenylguanidine",Venlafaxine,Metoprolol Tartrate,o-Desmethylvenlafaxine,DEET,Irbesartan,Olmesartan,Carbamazepine,Gabapentin-Lactam,Caffeine,5-Methyl-benzotriazol,Hexa(methoxymethyl)melamine,Hydrochlorothiazid,Benzothiazol-2-sulfonic acid,Valsartan,Benzotriazol,Formyaminoantipyrin
S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040020122,0,0,0,0.020054102,0,0,0
S2,0,0,0,0,0,0,0,0,0,0.003709546,0.000548471,0.006790582,0.009410846,0,0,0,0.002081252,0.006718903,0.009032724,0.006167936,0.009480299,0.015564295,0.018740767,0.00617516,0.01469092,0.013833482,0.024673156,0.011457749,0.081008343,0.012708129,0.004635165,0.026372545,0.069623135,0.064129345,0.027143251,0.112850121
S3,0,0,0,0,0,0.00413191,0,0,0,0.003353125,0.000719474,0.008467665,0.005539744,0,0,0,0.003093379,0.012819011,0.011767021,0.010041773,0.017096819,0.038068014,0.038181339,0.007098957,0.021918155,0.027016204,0.045537768,0.013713481,0.099346911,0.022112903,0.006885049,0.085594537,0.121896011,0.184478572,0.050375136,0.263576427
S4,0,0,0.001501519,0,0,0,0,0,0,0.003023549,0.000790686,0.005389765,0,0,0,0.020191799,0.004435526,0.010792762,0.009219006,0.007324359,0.001164978,0.002668473,0.003697732,0.006879772,0.002490362,0.015082401,0.029335039,0.012998464,0.200223387,0.019348652,0.027064671,0,0.227853648,0.142364703,0.047556283,0.163460925
S5,0,0,0,0,0,0,0,0,0,0.000613455,0.000898097,0.004654922,0.004301608,0,0,0,0.006155617,0.004509808,0.007016312,0.006380468,0.00653624,0.015185938,0.017744957,0,0.010894614,0.009489824,0.020062999,0.009780541,0.044838757,0.015420418,0.009910096,0.085928668,0.064212051,0.059638722,0.031267519,0.092552144
Schwarzer_Schoeps,0,0,0,0,0,0,0,0,0,0.000662126,0,0.004805689,0.002141686,0,0,0,0.006471085,0.00377348,0.011721283,0.009988066,0.009623856,0.021155124,0.021924442,0.005392392,0.010412493,0.012732688,0.018835433,0.021721773,0.055979543,0.013416167,0.007138913,0.032130476,0.082494766,0.07814283,0.040176123,0.112712396
S6,0,0,0.000429213,0,0,0,0,0,0,0.000790454,0,0.002374288,0,0,0,0,0.004631131,0.003926359,0.008006961,0.006662733,0.00544061,0.009170669,0.009862991,0,0.004575087,0.008190509,0.016555253,0.017154072,0.034751142,0.020723083,0.019801337,0,0.089415498,0.063574321,0.049902078,0.074176045
S7,0,0,0.00048608,0,0,0,0,0,0,0.000880866,0,0,0,0,0,0,0.010483835,0.008624995,0.019632619,0.011110473,0.015209275,0.039827302,0.03171861,0.004731731,0.022787344,0.021577019,0.037657388,0.025896072,0.078325071,0.041447726,0.027008878,0.091463572,0.115145319,0.21569518,0.095743011,0.290479352
Berste,0,0,0,0,0,0,0,0,0,0.000641226,0,0,0,0,0,0,0.010819156,0.002841119,0.009021737,0.010687165,0.006057844,0.01092119,0.012533877,0.004465485,0.006340221,0.015934202,0.018770826,0.013133077,0.083158878,0.015009922,0.004645851,0.049062188,0.094135666,0.023409401,0.016476453,0.147236376
S8,0,0,0,0,0,0,0,0,0,0.000543947,0,0,0,0,0,0,0.011821688,0.006615803,0.014341768,0.011621162,0.007667824,0.016987564,0.018442633,0.005858549,0.014055478,0.015576208,0.02727182,0.021825662,0.037775337,0.021562227,0.015631791,0,0.110655518,0.094834844,0.052807012,0.165871843
